weapon,refine,atk,crate,cdmg
PJWS (Stacked),R1,5,4,11
PJWS (Stacked),R2,4,4,12
PJWS (Stacked),R3,4,4,12
PJWS (Stacked),R4,3,4,13
PJWS (Stacked),R5,3,4,13
PJWS,R1,5,4,11
PJWS,R2,5,4,11
PJWS,R3,4,4,12
PJWS,R4,4,4,12
PJWS,R5,4,4,12
Homa (50%),R1,4,10,6
Homa (50%),R2,4,10,6
Homa (50%),R3,3,10,7
Homa (50%),R4,2,10,8
Homa (50%),R5,1,10,9
Homa,R1,6,10,4
Homa,R2,6,10,4
Homa,R3,5,10,5
Homa,R4,5,10,5
Homa,R5,4,10,6
"Vortex (Shielded, Stacked)",R1,0,10,10
"Vortex (Shielded, Stacked)",R2,0,10,10
"Vortex (Shielded, Stacked)",R3,0,10,10
"Vortex (Shielded, Stacked)",R4,0,10,10
"Vortex (Shielded, Stacked)",R5,0,10,10
"Vortex (Shielded, Unstacked)",R1,0,10,10
"Vortex (Shielded, Unstacked)",R2,0,10,10
"Vortex (Shielded, Unstacked)",R3,0,10,10
"Vortex (Shielded, Unstacked)",R4,0,10,10
"Vortex (Shielded, Unstacked)",R5,0,10,10
CalamityQueller (Stacked),R1,1,10,9
CalamityQueller (Stacked),R2,0,10,10
CalamityQueller (Stacked),R3,0,10,10
CalamityQueller (Stacked),R4,0,10,10
CalamityQueller (Stacked),R5,0,10,10
CalamityQueller (Unstacked),R1,1,10,9
CalamityQueller (Unstacked),R2,1,10,9
CalamityQueller (Unstacked),R3,0,10,10
CalamityQueller (Unstacked),R4,0,10,10
CalamityQueller (Unstacked),R5,0,10,10
"Vortex (Unshielded, Stacked)",R1,0,10,10
"Vortex (Unshielded, Stacked)",R2,0,10,10
"Vortex (Unshielded, Stacked)",R3,0,10,10
"Vortex (Unshielded, Stacked)",R4,0,10,10
"Vortex (Unshielded, Stacked)",R5,0,10,10
"Vortex (Unshielded, Unstacked)",R1,0,10,10
"Vortex (Unshielded, Unstacked)",R2,0,10,10
"Vortex (Unshielded, Unstacked)",R3,0,10,10
"Vortex (Unshielded, Unstacked)",R4,0,10,10
"Vortex (Unshielded, Unstacked)",R5,0,10,10
StaffOfTheScarletSands,R1,8,0,12
StaffOfTheScarletSands,R2,8,0,12
StaffOfTheScarletSands,R3,8,0,12
StaffOfTheScarletSands,R4,8,0,12
StaffOfTheScarletSands,R5,8,0,12
SkywardSpine,R1,7,8,10
SkywardSpine,R2,8,7,10
SkywardSpine,R3,8,7,10
SkywardSpine,R4,8,6,11
SkywardSpine,R5,8,6,11
EngulfingLightning,R1,4,10,11
EngulfingLightning,R2,3,10,12
EngulfingLightning,R3,3,10,12
EngulfingLightning,R4,2,10,13
EngulfingLightning,R5,2,10,13
Lithic (4 Stacks),R1,0,7,13
Lithic (4 Stacks),R2,0,6,14
